ID,分区,项目名,一句话定位,创始人,站点状态,Repo状态,团队评分,技术护城河,TAM,估值区间,推荐度,一句话判断,风险1,风险2,风险3,优势1,优势2,优势3,竞品(top3),官网,GitHub
E08,E,TocLean 万象智能体,用 TOC + LEAN AI 赋能制造业打造端到端 Agent 军团,夏乐冰,"无独立官网，疑似复用其母公司""拨云见日""（See The Silver Lining/STSL）。BD与品牌曝光主要走36氪、阿里云创新中心等渠道。从公开报道看",无公开GitHub仓库。考虑到主要交付是行业Know-how+控制器+RaaS对赌，代码闭源合理，但需在尽调中查看其TOC+LEAN算法的专利布局、与科大讯飞的,5,福耀全球CIO+TOC/LEAN方法论+RaaS对赌交付，软硬件一体可复制,中国制造业数字化转型市场年规模~3000亿RMB，AI Agent切入制造SOP/排产/质量环节TAM可达500-800亿。但实际可被RaaS对赌覆盖的高价值场景集中在头部500家制造集团，前5年SAM~50-100亿。,$50-100M pre-money。福耀CIO背景+已落地行业数据+RaaS模式天然押注交付结果，议价能力高。若A轮估值参照科大讯飞此前进入价已经偏高。,5,创始人级A，工业Agent最具RaaS可兑现性的项目之一,制造业客户决策链长、回款慢，RaaS对赌如收益归属与数据归属界定不清，会出现纠纷；,TOC/LEAN方法论本身非专利壁垒，竞品（西门子/海尔/黑湖）可复制框架，长期moat在Know-how沉淀速度；,夏乐冰个人IP重，二号位与组织梯队需补，规模化复制存在'明星CIO天花板'风险。,创始人为福耀全球CIO，百厂落地经验是行业稀缺资产；,RaaS对赌模式与企业利益强对齐，付费意愿与续约率天然占优；,已获科大讯飞A轮背书，资源协同（讯飞星火大模型+渠道）形成飞轮。,西门子MindSphere () / 海尔卡奥斯 () / 树根互联 (),,
E09,E,树为智能,具身智能物理因果数据引擎，教会机器人物理规律,张鑫,无独立官网；公开搜索引擎对'树为智能 张鑫 接触动力学'未返回独立网站或微信公众号入口，对外曝光极低。对一家面向具身智能数据引擎赛道的早期项目尚可理解，但相较帕,无公开GitHub仓库；接触动力学与物理因果仿真核心代码闭源，需在尽调中验证'物理真值标注引擎'是真自研还是基于Mujoco/Isaac Sim/Genesis,4,接触动力学博士+50篇顶刊+物理真值数据引擎，AI4Physics垂直纵深,具身智能仿真数据+真值标注市场2026年TAM~50-100亿RMB，2030年伴随机器人本体放量可达千亿；但当前付费方主要是机器人厂商，前5年SAM~10-30亿。光轮、群核等已占领部分赛道。,$30-80M pre-money。具身世界模型/数据引擎赛道2026年Q1头部估值已抬至200亿RMB（星海图），早期数据引擎方向团队学术背景过硬可给到天使中位上沿。,4,硬科技纵深好，需快速跑出标杆客户与差异化叙事,数据引擎为'卖水人'路径，但客户（机器人本体厂商）现金流自身紧张，付费节奏弱于预期；,物理因果赛道学术氛围浓，与穹彻智能(力觉+视觉融合)、光轮智能(合成数据)直接重合，差异化叙事需重做；,副教授兼职创业的精力分配与团队全职化进度，是早期落地速度的关键瓶颈。,张鑫接触动力学博士+985副教授+50余篇顶刊，是少有'真懂物理'的具身创业者；,郭金宇剑桥联培博士+王效愚ABB/GE 20年销售，研发-商务搭配相对完整；,切入物理因果数据这一被VLA路线长期忽视的环节，技术叙事有独到性。,光轮智能 (合成数据) / 群核科技 (Coohom) / 帕西尼 (触觉),,
E10,E,天穹智算,用卫星遥感、公开数据和 AI Agent，将真实世界事件转化为金融市场可用的另类数据,徐子谏,无独立官网，对外品牌曝光极低，公开搜索未返回有效结果。对地理空间另类数据赛道的早期项目，缺乏官网与case study会显著拖慢机构客户（CTA、宏观对冲基金）,无公开GitHub仓库；Agent工作流与遥感算法均闭源。需在尽调中重点验证：1)卫星数据源是否自购或合作（成本结构）；2)是否复用Earth-Agent、Sk,4,卫星遥感+GeoAI+金融另类数据三角，董戈教授为学术锚,全球另类数据市场~150亿USD（2026），其中地理空间~25亿USD；中国侧由于商品交易、宏观与产业研究买方付费意愿提升，本土SAM~10-20亿RMB，但需面对Orbital Insight 2023年估值崩盘到$50M的赛道警示。,$30-80M pre-money。董戈教授真实存在（清华航天航空学院研究员可查证）支撑首席科学家背书；但赛道海外标杆Orbital Insight已大幅减值，估值上沿应受压制。,3,团队靠谱但赛道商业化已被海外验证证伪一半,海外标杆Orbital Insight从$430M峰值跌至$50M，说明地理空间另类数据赛道商业化天花板存在严重不确定性；,中国对冲基金/商品交易商付费意愿弱，TAM理论上诱人但SAM有限，3-5年难以做到$10M ARR；,高分辨率卫星数据采购成本高，若无自有卫星合作，毛利结构将被Planet等海外数据源持续压制。,首席科学家董戈为清华航天航空学院在编研究员+博导，学术信誉可核验；,团队覆盖康奈尔系统工程+港理工GeoAI+康奈尔土壤遥感，专业搭配完整；,Agent工作流自动完成事件拆解→数据源选择→证据提取→报告生成，叙事符合2026年Agent2B主流。,Orbital Insight () / Planet Labs () / Kensho (),,
E11,E,枢宇科技,模拟光电子芯片的 Agentic 设计引擎,汪嘉成,无公开独立官网；公开搜索引擎未返回汪嘉成或Orvix Pilot公开介绍页面，PR极度克制。模拟/光电子EDA赛道客户全部是B端芯片设计公司，不依赖C端流量，低,无公开GitHub仓库；自研多智能体框架+垂直LLM均闭源。需在尽调中验证：1)Orvix LLM训练数据来源与版权；2)与Cadence/Synopsys工具,5,清华EE博士+Agentic RL自研垂直LLM+宋健IEEE Fellow光电学术锚,全球EDA市场~150亿USD（2026），其中模拟EDA~25亿USD；Agentic AI驱动的设计自动化是Cadence/Synopsys 2026最大增长引擎，中国国产模拟EDA SAM~20-40亿RMB，国产替代政策强催化。,$80-180M pre-money。清华博士+IEEE Fellow首席科学家+4家头部客户POC验证+对Cadence/Synopsys的模拟EDA替代叙事，估值上沿可参照Agentic EDA国际同行。天使1000万RMB估值偏低，下一轮抬估值空间大。,5,Agentic EDA国内最具替代叙事的纵深项目，强推,Cadence ChipStack/InnoStack已在Computex 2026推出L5级自主AI设计工程师，国际巨头时间窗口正在关闭；,POC转付费合同周期12-18个月，紫光展锐/卓胜微等头部客户决策链长，现金流会在2026下半年面临考验；,宣传'联合华为九天'若实指华大九天合作，需厘清是技术合作还是渠道合作，避免投资人理解偏差。,拓扑一次成功率提升127%是可量化的硬指标，POC通过率高，技术moat真实存在；,宋健教授(IEEE Fellow)首席科学家+清华EE的电路与LLM复合背景，是国内极少数兼具EDA与Agentic能力的团队；,天使轮估值偏低，4家头部客户POC已通过，A轮估值跳跃空间大。,Cadence Cerebrus AI (ChipStack) / Synopsys DSO.ai () / Siemens EDA AI (),,
E12,E,合睿智信,本土企业 AI 落地咨询与交付新模式,王瑞,无独立官网，对外曝光主要走中科院他山学科交叉创新协会社群。对一家AI落地咨询公司，无官网意味着inbound线索全部依赖创始人IP与社群，规模化天花板明显，需3,无公开GitHub仓库；咨询交付以专家诊断+员工内化为主，技术资产较轻。'1专家+3学员/项目'的方法论是否可复制为标准化SOP，需在尽调中验证。,3,中科院1500+硕博专家社群+1专家带3学员的内化交付方法,中国企业数字化+AI咨询年市场规模~600-800亿RMB，但90%被埃森哲/麦肯锡/华为咨询/阿里云等占据；早期'AI落地+学员内化'差异化SAM约30-60亿，但客单价低、利润率薄。,$15-40M pre-money。种子+轮已完成600万RMB+7个项目交付，估值参考FDE/AI咨询早期天使中位下沿。中科院社群+童之磊(中文在线CEO)等跨界顾问关系对早期获客有帮助，但商业模式天花板限制估值上沿。,3,PMF已验但天花板偏低，建议作为关注非强投,AI咨询是高度依赖人头的劳动密集型业务，毛利率与规模化都受限，难做高估值倍数；,竞争极度拥挤，埃森哲/麦肯锡/华为咨询/阿里云均已下场，初创品牌力弱；,童之磊跨界顾问关系尚未公开验证为合作伙伴或战略股东，仅作为社群嘉宾的实际背书价值有限。,中科院1500+硕博专家社群是真实可调用的低成本交付资源，是同期咨询初创少有的供给端壁垒；,已完成7个项目交付，PMF初步验证，从0到1能力已证明；,1专家+3学员的'授人以渔'模式与企业'AI素养内化'需求强对齐，复购与口碑潜力较好。,埃森哲 () / 麦肯锡QuantumBlack () / 贝恩Vector (),,
F01,F,时空码头 KsanaDock,游戏开发 Agent，让 AI 做出生产级游戏,李豪,HTTP 308 -> 200 OK (重定向 ksanadock.ai -> www.ksanadock.ai/en，Vercel+Cloudflare 部署,GitHub KsanaDock/Microverse 抓取确认 2353 stars（aria-label='2353 users starred'），完全验,4,斯坦福 AI 小镇思路 + Godot 引擎深度打通 + 开源生态 2.3K stars + 多模态 AI 资产 pipeline,全球游戏开发工具市场 $30B+（Unity/Unreal 占主导），AI 游戏 Agent 细分赛道 $2-5B（2026 估算）。独立游戏开发者全球约 30 万人，AIGC 游戏资产工具的可寻址市场约 $500M-1B。中长期想象力在于'AI Native 游戏生产'颠覆传统美术/关卡/叙事工作流，TAM 可放大至游戏引擎层级。,$30-80M pre-money,4,稀缺的全栈型独立开发者，开源到商业化路径清晰,Inworld AI / Rosebud AI 等海外玩家融资数亿美元、生态领先，KsanaDock 资源差距显著,Godot 引擎生态规模远小于 Unity/Unreal，工具锁定在小众引擎可能限制 TAM 上限,'用爱发电'开源到商业化转化路径不清晰，PMF 和付费意愿需要验证,2.3K+ GitHub stars 实证产品力，独立完成美术/音乐/特效/代码的全栈型创始人极稀缺,ksanadock.ai 平台已上线，从开源项目到 SaaS 产品形成完整闭环,小红书+X+YouTube 多平台自媒体阵地，独立开发者社区认可度高，GTM 自带流量,Inworld AI（角色 AI） () / a16z AI Town（开源参照） () / Rosebud AI（游戏生成） (),https://ksanadock.ai/,https://github.com/KsanaDock/Microverse
F02,F,UseIt AI,做 AI for Design 最好的驾驶舱——交付即源文件,郜迪飞,未提供独立官网（PRD site 字段为空）。仅 GitHub 仓库作为对外门面，对 toB 设计师群体而言官网缺失是明显短板。新加坡注册（USEIT PTE.,GitHub UseIt-AI/use-it-agent 抓取到仅 27 stars，与创始人个人学术项目 GitHub 7K+ Stars 的影响力对比悬殊，,5,Agent Harness 自研 + 输出可编辑 PSD/AI/SVG 工程文件（差异于通用 Computer Use）+ 学术沉淀,全球设计师工作流软件市场（Adobe Creative Cloud）$25B+，AI Design Agent 细分赛道 2026 估算 $3-8B，Lovart 等已验证设计师对 AI Agent 的付费意愿。'交付即源文件'切入专业设计师付费心智，ARPU 上限较高（参照 Adobe $60/月）。中长期可扩展到工业设计/CAD/视频剪辑等专业软件场景。,$40-120M pre-money（Pre-A $2M 已落地）,4,学术背景最硬的 Computer Use 垂类，需要快速 GTM 验证,Anthropic/OpenAI/Google 三大厂 Computer Use 通用 Agent 持续升级，垂类窗口期可能被压缩,Lovart 等已获大额融资 + 用户认知领先，UseIt 缺少官网/demo 公开 GTM 滞后,4 位联创学术/技术背景重，缺少明确销售/设计师社区运营基因，B 端获客挑战大,创始人 Computer Use Agent 学术先发性 + 顶会论文 40+ 篇 + 学术开源 7K+ stars 极硬,新加坡美元架构 + Pre-A $2M 已到位，海外路径与资本结构清晰,'交付可编辑源文件'差异化定位精准，避开通用 Computer Use Agent 的'像素级模拟'弱点,Anthropic Claude Computer Use () / OpenAI Operator () / Lovart AI（设计 Agent） (),,https://github.com/UseIt-AI/use-it-agent
F03,F,Lulula AI,实时语音智能体 + AI 音频世界,孙长昊,无官网，无 GitHub，处于真正的极早期 stealth 状态。注意：WebSearch 命中的 lulula.com 是另一个面向女性的互动幻想音频平台，并,无公开 GitHub。WebSearch 未能独立验证孙长昊'字节 Coze 早期核心成员、百度文心一言创始团队核心成员'的具体职级与贡献（公开报道中 Coze,5,全双工实时语音（可打断/插嘴/追问）+ 3D 空间音效 + 本地隐私 / 云端混合架构 + 语音-文档协同,全球语音 AI 市场 $30B+（2030 估算），实时对话 AI 细分 $5-10B。toC 陪伴/伴侣 AI 已被 Character.AI（$10B+ 估值）和 Replika 验证付费意愿；语音作为下一代核心交互模态被 OpenAI（Sky 事件）、Sesame（$45M 种子）抬高估值锚点。中国市场字节豆包实时语音免费策略对独立创业者构成结构性挤压风险。,$30-100M pre-money（参照 Sesame $45M 种子估值带）,3,团队最豪华但风险最高，需对标 Sesame 验证差异化,字节豆包实时语音大模型已免费开放，孙长昊'前东家'反过来成为最大竞品，结构性挤压定价空间,极早期无产品无 demo，技术承诺（全双工/3D 音效/本地云混合）未经验证，纯团队押注,团队 credential 中 Coze/文心一言'核心成员'职级未经独立第三方背书，需推荐人尽调,团队 6 项目中技术深度最厚：科学家+语音工程+RL+Agent 完整配置，覆盖全链路,全双工实时语音 + 3D 空间音效是被 OpenAI/Sesame 验证的下一代交互方向，赛道正确,孙长昊连续主导 10+ AI 产品 0 到 1，加上字节/百度/腾讯/旷视全栈履历，连续创业者打过仗,Sesame（实时语音） () / Sindarin () / OpenAI Realtime API (),,
F04,F,Humanify 人格智能,AI 原生操作系统（投资价值 TOP1）,易和阳 (Aaron Yee),无独立官网（PRD site 字段为空），WebSearch 命中的公开报道来自新浪财经、网易、ByDrug、知乎专访、搜狐天眼等多个一手媒体源，融资新闻覆盖完,无公开 GitHub（典型基础设施公司在模型未发布前不开源）。融资信息已通过新浪财经、网易、搜狐独立验证：人格智能（杭州）有限公司 2024 年成立，2026 ,5,类人认知模型基座（情商/人格/意图/情绪/长期记忆）+ 模型即 OS 范式 + 五源+奇绩双背书,若'模型即 OS' 范式成立，可对标全球操作系统市场（iOS+Android 累计 $200B+ 生态价值），但目前是纯想象空间。短期可寻址市场为 AI 陪伴/情感 AI（Character.AI $10B+ 估值参照），约 $5-20B。这是 toC 6 项目中 TAM 想象力天花板最高的，但落地路径最长。,$60-250M pre-money（参照 Rabbit / Humane 同期估值带，五源领投通常 post-money $50-80M，下一轮跳到 $200M+ 概率高）,5,F 区 TOP1 标的，机构背书+叙事强度全场最高,'模型即 OS' 范式过于宏大，从'类人认知'到真正落地为 OS 路径漫长，估值已透支多年预期,Rabbit R1 / Humane Pin 等 AI OS 先行者均在硬件商业化阶段挫折，Humanify 走纯软件版同样面临分发渠道难题,97 年创始人虽 Web3 有百万用户经验，但 AI 基础设施所需要的科研深度+长周期烧钱能力需进一步验证,F 区 6 项目中唯一一家融资节点+投资方+金额三要素全公开验证的项目（新浪/网易/搜狐多源交叉）,五源资本领投+陆奇博士跟投，机构背书强度全场最高，下一轮 markup 概率大,差异化叙事'类人认知 vs AI 智商军备竞赛'清晰且被主流财经媒体接受，已占领心智位,Rabbit R1 OS () / Humane Pin（已挫折） () / Character.AI（情感 AI） (),,
F05,F,锡鸟游戏 All Our Broken Parts,叙事独立游戏,班春晖,Steam 商店页面 HTTP 200 OK，AppID 3473430 已上架（store.steampowered.com/app/3473430/All_,无 GitHub（商业游戏项目正常）。团队 credential 较扎实：CEO 班春晖前网易关卡设计师 + 10+ Gamejam 经验 + indiepla,3,'机器人情绪是流动的特征电流'独特叙事设定 + 网易/鹰角美术叙事血脉 + Steam 全球分发,全球独立游戏市场 Steam 年规模 $4B+，单款叙事独游天花板由 Unpacking（~$15M）、Papers Please（~$8M）、Her Story（~$5M）等定义。中国叙事独游近两年《烟火》《三伏》验证国内付费意愿但天花板有限。本项目 TAM 估算 $5-30M 销售额上限，对应公司估值天花板 $10-30M。,$5-20M pre-money（独立游戏赛道结构性偏低）,2,独游单品逻辑与 VC 复利逻辑错配，更适合发行渠道而非股权融资,独立游戏发售前估值/融资缺少标准锚点，奇绩路演孵化逻辑（量产+复利）与独游单品逻辑错配,团队均为中级经验，首款商业作品完成度+营销能力未经验证，叙事独游容错率极低,Steam 中国区结算/海外宣发对小团队挑战大，'2026 年发售'是否能按时上线存疑,Steam 已上架预热，发售路径明确，比纯概念阶段游戏团队稳一档,网易关卡设计师+鹰角概念设计美术+库洛叙事 = 国内一线游戏公司经验配齐，团队基本功扎实,'机器人维修+情绪诊疗'差异化叙事设定，在 Papers Please 框架上叠加治愈系情感线，有 IP 想象力,Papers Please () / Her Story () / Unpacking (),https://store.steampowered.com/app/3473430/All_Our_Broken_Parts/,
F06,F,STACK ANYWAY 观点跃迁,全球首个 Text to Device AI 电子设备生成实现平台,徐世哲,无独立官网（PRD site 字段为空）。'技术社区粉丝破一万'但无公开链接，无法核验社区类型（B 站？知乎？微信？）。WebSearch 未能找到 STACK,无公开 GitHub。Rico Li'14nm 芯片独立操盘+ISCA 顶会'是非常硬的 credential（ISCA 是计算机体系结构最顶会，独立做 14n,4,Text-to-Device 自然语言转电子硬件设计 + 14nm 流片经验 + Maker 社区 1 万粉,全球电子设计自动化（EDA）市场 $15B（Synopsys/Cadence/Mentor 三巨头垄断），消费级硬件 Maker 工具市场 $1-3B。'硬件版 Claude Code'若能跑通，可对标软件 Cursor/Claude Code 的 toC 估值带，但硬件设计涉及物理元件采购+焊接+调试，AI 端到端难度远高于纯软件。教育/Maker 市场切入容易但 TAM 偏小（$200-500M）。,$30-80M pre-money,3,团队深度强但执行难度极高，需核验央视带货等强 claim,'硬件版 Claude Code'技术难度极高，从自然语言到 PCB 设计到元件采购到原型组装的端到端闭环未见 demo,Tinkercad/Fusion 360 已被 Autodesk 收购整合，AI 增强版本可能由 Autodesk 自己推出形成正面竞争,团队 credential 强但公开足迹弱，'央视带货国民级产品'等强 claim 无法 WebSearch 验证，需尽调环节核实,Rico Li 14nm 独立流片+ISCA 顶会属于硬件赛道稀缺人才（如果属实），团队架构深度强,ml5.js 核心开发者 + 20+ app 上架，软件应用层执行力可独立核验,教培营收 3000 万 + 1 万 Maker 社区粉丝，自带早期用户池，GTM 比纯技术团队顺畅,Tinkercad（Autodesk） () / Fusion 360（Autodesk） () / LabVIEW（NI） (),,
F07,F,海伦阿姨的厨房,建立宠物友好场景的全域快消零售网，让一亿养宠人随时随地买一包,邓牧雨,未提供官网链接；项目处于早期销售验证期，可能仅有微店/淘宝/抖音店铺。在首年 0 市场费用情况下售出 100 万包是关键销售证据，但缺乏可公开追溯的品牌官网会影,无 GitHub。作为快消 D2C 项目，技术栈不公开属于正常；但团队 highlight 提到「全自研 AI 工具覆盖研发到交付全链路」需要在 DD 现场要求,4,AI 全链路工具 + 模块化陈列方案（一步式 SKU 适配多场景）,中国宠物食品 2026E 1140 亿元（德勤），其中零食赛道 CAGR 25% 为最快子类；犬猫零食渗透率仍快速上行，互动型零食 75%、功能型 51%。全域快消零售（含线下便利店/社区货架）打开 SKU 单包高频复购天花板，TAM 测算 200-400 亿可触达 GMV，渗透 1% 即可做到 2-4 亿营收。,$15-30M pre-money。首年 100 万包销售 + 前小米国际化团队溢价，但仍属重运营+毛利天花板较低的快消，估值受 LTV/CAC 和复购率约束，难给纯互联网倍数。,3,PMF 信号真实但赛道拥挤，须深入验证复购与陈列网络可执行性,宠物零食赛道国产高度内卷（麦富迪/弗列加特/比瑞吉）+ 国际品牌（Royal Canin、皇家）双夹击；首年 100 万包是否含赠品/补贴需澄清,「模块化陈列」是线下零售概念，意味着重 BD 和供应链运营，对前小米互联网团队是 capability gap，存在「降维打击」叙事 vs 实操能力的错配,AI 自研工具尚未拿出可验证 demo；若停留在 PPT，highlight 中的科技 narrative 折损严重,团队前小米国际化背景，邓 + 张 + 涵宇三人覆盖 PM/设计/履约，海外 0-1 经验在宠物出海窗口有协同,首年 0 营销费售出 100 万包是真实早期 PMF 信号（需进一步看 SKU/客单/复购）,切入点「随时随地一包」属于品类未被满足的「便利购」场景，对标可乐分销逻辑，理论 TAM 大,麦富迪（乖宝，国产 TOP1，GMV 5000W+ (月）) / Pet Honesty（美国功能性零食 D2C） () / Wuffes（北美宠物保健 DTC） (),,
F08,F,想通了,让 AI 以「过来人」的平等身份帮你理清困扰,韩瑜,未提供官网；产品尚处 PMF 验证前期。AI 心理陪伴赛道国内监管对「心理咨询」类宣称有严格红线（不可宣称诊断/治疗），缺少品牌独立站会限制内容沉淀和合规自证。,无 GitHub。CTO 吴合风 13 项专利 + 8 篇论文可侧面佐证算法能力，但「动态人格认知系统」缺乏开源/论文级别 benchmark，需在 DD 时要,5,动态人格认知系统 + 用户心智模型长期演化（清华艺术×自动化×北大心理跨学科）,全球 AI 心理陪伴 / 情绪陪伴 2026E $30-50 亿，其中 Character.ai 已验证 MAU 2000 万+。国内年轻人心理咨询渗透率仍低（<5%），但替代品咨询贵且供给少，AI「过来人」定位卡位「轻心理 + 思维教练」垂直，TAM 测算 100-200 亿人民币。,$25-50M pre-money。清华+北大跨学科团队溢价 + Rosebud/Replika 早期估值锚（Rosebud 种子轮 $6M / 估值 $30M+）。如能拿出 30 天留存与日均会话深度数据，可向上突破。,4,团队背景顶配 + 切入点细腻；监管与增长执行是双重不确定性,AI 心理陪伴国内合规红线高（不可宣称诊断、不可承诺疗效），监管事件可能瞬间冻结增长,Character.ai/Replika 已用「情感+长期记忆」教育市场，差异化「过来人平等身份」是叙事层而非技术壁垒，易被大模型基座方碾压,三人创始团队学术背景厚但缺乏明确的运营/增长担当，C 端增长曲线如何起步是关键缺口,跨学科组合（艺术设计/算法/心理博士）是 AI 心理产品稀缺配置，沈子维北大心理博士给「心智模型」叙事 credibility,韩瑜思维认知赛道万粉博主自带冷启动流量 + 内容运营经验，规避 0-1 流量荒,「过来人」平等身份切入差异化清晰，规避「AI 不懂我」的传统 chatbot 痛点,Replika（北美情感陪伴 TOP） () / Rosebud Journal（AI 日记 + 心理） () / Character.ai（角色陪伴） (),,
F09,F,Kuku,macOS AI 原生 Markdown 编辑器（Obsidian meets Cursor）,未公开,https://www.kuku.mom/ HTTP 200 正常，Cloudflare 托管；产品定位清晰（macOS local-first AI Mark,未公开主仓库 URL，但官网披露 MIT 开源 + Tauri v2 + React 19 + SolidJS + ProseMirror 重写、Rust 后端,3,Tauri+Rust 原生 15MB/80MB 极致体积 + local-first + Cursor 风格 diff 审查的 AI Agent,全球 PKM/笔记软件 SAM $30-50 亿（Notion $10B 估值锚、Obsidian 千万用户）。AI-native Markdown 编辑器是 Obsidian 之后的代际机会，但用户基数受限于 macOS + Markdown 重度用户（开发者/研究员/写作者），TAM 测算 $5-10 亿可触达 ARR。,$15-40M pre-money。Reflect.app 同阶段估值 $30M 可锚定；产品已上线 v0.5.x + 开源 MIT 路线可加分，但赛道挑战 Obsidian 既有用户心智门槛极高。,3,工程素质过硬但团队不透明且赛道用户迁移壁垒高,Obsidian 社区生态（插件 + Sync + Publish）已形成强网络效应，迁移成本是 PKM 类产品最大门槛，「换编辑器」转化率历史上极低,仅 macOS（Win/Linux 待发布）严重限制用户基数；Gemini AI Agent 单依赖一家模型供应商存在 vendor risk,团队信息未公开（founder 留空），无法评估 PMF 执行力与商业化经验,产品已实打实交付（v0.5.4 + Homebrew + 真实 Tauri/Rust 工程），技术执行力得到验证,Cursor 风格 diff 审查 + local-first 是对 Obsidian AI plugin 路径的代际升级，差异化清晰,MIT 开源降低用户决策成本，可借鉴 Obsidian/Logseq 社区驱动增长打法,Obsidian（PKM 标杆，1000 万用户） () / Cursor（AI 编辑器范式定义者） () / Reflect.app（AI Notes） (),https://www.kuku.mom/,
F10,F,skardi.ai,Databricks for Agent · 填补 Agent 在生产环境落地的最后一英里,魏鑫 (Xin Wei / BT),https://skardi.ai 301 → https://www.skardi.ai/ 200 正常，Cloudflare 托管，主页定位「the dat,https://github.com/SkardiLabs/skardi 公开 Apache 2.0；74 stars / 6 forks / Rust 96.,5,Agent 原生 data plane + DataFusion 高性能 SQL + 统一连接/权限/血缘/回滚,Databricks $43B 估值锚定数据平台 TAM 千亿美元级；Agent 数据平面是子集，但属于「Agent 落地最后一英里」必经基建。AI infra 投资 2026 仍是 hot money，企业级 Agent 部署需求爆发期，3-5 年 SAM 测算 $50-100 亿。,$30-60M pre-money。Seed $5M USD 计划 + 法律 10B 估值客户接触 + 头部 AI 招聘/访谈公司 POC = 强 signal；UIUC 双 CS + AWS/Kafka Committer/Rockset(OpenAI)/Tubi 履历可对标顶级 infra 团队，类比 Modal Labs/Replicate 早期估值。,5,本批最稀缺标的，infra 真功夫 + 早期客户落地双确认,Databricks/Snowflake/MotherDuck 等巨头均在布局 Agent 数据接入层，时间窗口约 12-18 个月，需要在大厂下场前锁定头部客户和 OSS mindshare,OSS 商业化路径未明确（74 stars 仍属早期 mindshare），如何从 self-host 走向 SaaS 定价/Enterprise 合同需要演练,美国主体 + 中国创始团队 + 美国客户的 GTM 距离感，BD 资源是否到位是种子轮后最大变量,技术与产品 narrative 完全对齐（GitHub 真材实料、Apache 2.0、Rust 高性能、月度发版），DD 可信度顶级,团队是稀缺的「数据 infra + Agent」双线 senior（Kafka Committer + Rockset/OpenAI + AWS query engine），赛道天然壁垒,客户进展具体（头部法律 Agent / AI 招聘 POC / AI 访谈集成）超出种子轮均值，B2B 早期 traction 强,Apache Spark (Databricks（传统数据平台）) / DuckDB (MotherDuck（in-process OLAP）) / Apache DataFusion 直接生态 (),https://skardi.ai,https://github.com/SkardiLabs/skardi
F11,F,Memova.ai,让每个人零门槛使用理解自己的 Agent，重构工作流,孙明雨,https://memova.ai 200 正常但官网信息极少，主页仅「The Most Intuitive AI Agent」标语，无 team/featur,无公开 GitHub。技术宣称「全球首个无门槛 Agent 闭环工作流平台」「普惠 Claude+Obsidian 能力」很大，需在 DD 时要求 demo 实,4,Agent 闭环工作流 + 多模态信息碎片 → 结构化私有知识库,AI 个人生产力 + 第二大脑 2026E SAM $50-100 亿（Notion $10B / Otter.ai $2B / Mem.ai $110M 估值）。无门槛 Agent 是 long-term 平权 narrative，但短期 TAM 受限于 prosumer 高频内容创作者群体，$5-20 亿可触达。,$25-50M pre-money。种子 $150 万 + 硅谷连续创业者（CAC Auto Group 3000 万 USD ARR / EZDealer 已验证）+ 斯坦福医学院助理教授 CTO + OpenAI / Meta 创始团队科学家阵容，团队溢价显著。但产品成熟度落后于 Memo.ai/Granola，估值上限受限于 traction。,4,团队顶级但官网/产品透明度不足，需 demo 实证后再判,宣传词「普惠 Claude+Obsidian」野心大但需对应产品能力，过承诺-欠交付风险显著,AI Journal/语音笔记赛道（Day One/Granola/Rosebud/Otter）拥挤且巨头均在做 Memory 层，差异化窗口缩窄,孙明雨履历（Carvana 汽车 D2C/SaaS）与个人 AI 知识库赛道领域跨度大，团队心智迁移与用户洞察是否到位待验证,团队配置接近全明星（OpenAI 数据科学家 + Meta 研究科学家 + 斯坦福助理教授 CTO + 二次创业 CEO），技术深度与 narrative 信誉双强,创始人 ASD+ADHD 自述切入 personal alignment 是有共情的 founder-market fit 信号,美元架构 + 杭州/旧金山双引擎对接中美 AI 资本与用户，未来上轨融资路径清晰,Day One (Rosebud Journal（AI 日记）) / Otter.ai（语音转录 + summary） () / Mem.ai（OpenAI 投，AI 笔记） (),https://memova.ai,
